"Overall Stats:"
"Hours Volunteered","Average age","Number of groups","Total number of users","Number of anonymous users"
11256,50.4,117,552,0

"Breakdown by country:"
"Country name","Total hours"
GB,6702
CA,1382
SE,1028
IT,722
BE,636

"Breakdown by city:"
"Town/city name","Total hours"
London,3806
Malmö,776
N/A,768
Montréal,569
Leeds,440

Results:
#,Hours,"Event date","Restart group",Location
1600,6.00,19/04/2020,"Repair Cafe Pavia","Via C. Darwin, 2 - 27020 Loc. Frua, Travacò Siccomario (PV)"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1645,1.00,19/04/2020,"Repair Cafe Malmö","Malmö, Sweden"
1554,3.00,18/04/2020,"Share and Repair","New Oriel Hall, Brookleaze Buildings, Bath BA1 6RA , UK"
1556,3.00,18/04/2020,"Share and Repair","Bear Flat Methodist Church, Bruton Ave., Bath BA2 4QJ UK"
1558,3.00,18/04/2020,"Share and Repair","Church Hall, High Littleton, BS39 6HF UK"
1594,3.00,18/04/2020,"Chesterfield Repair Cafe","Chesterfield Baptist Church, Chesterfield S40 4ST, UK"
1634,3.00,18/04/2020,"Gent Repair Cafe","Louis Schuermanstraat 1, 9040 Gent"
1460,2.50,18/04/2020,"Repair Café Portsmouth","Buckland URC, 174 Kingston Road, Portsmouth, UK"
1633,2.50,16/04/2020,"Gent Repair Cafe","Achterstraat 20, 9040 Gent"
1626,2.00,11/04/2020,"Keynsham Repair Cafe","Keynsham Baptist Church, Keynsham High Street, BS31 1DS"
1632,3.00,08/04/2020,"Gent Repair Cafe","Verenigde Natieslaan 2, 9000 Gent"
1543,4.00,04/04/2020,"Forres Restarters","TTF, Forres"
1638,3.00,04/04/2020,"Nottingham Fixers","Sherwood Methodist Church, Devon Drive, Nottingham, NG5 2NE"
1643,2.00,04/04/2020,"Marlow Repair Café",
