Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
10/06/2021,"Fiksefest på Deichman Grünerløkka",,0,1,0,0,0,0,0,12
10/06/2021,"26ème Repair Café Mouscron",,0,1,0,0,0,0,0,12
05/06/2021,"Repair Café de Floreffe",,0,1,0,0,0,0,0,12
05/06/2021,"market harborough fixers @ Ecovillage",,0,1,0,0,0,0,0,12
05/06/2021,"market harborough fixers @ Ecovillage",,0,1,0,0,0,0,0,12
05/06/2021,"Marlow Repair Café",,0,2,0,0,0,0,0,15
05/06/2021,"Repair Café de Gesves",,0,1,0,0,0,0,0,12
05/06/2021,"Repair Café - Anderbeek, le retour!",,0,2,0,0,0,0,0,15
05/06/2021,"Repair Café Annevoie",,0,1,0,0,0,0,0,12
05/06/2021,"Repair  Café Habay SPÉCIAL VÉLO",,0,1,0,0,0,0,0,12
04/06/2021,"Caixa d'Eines i Feines",,0,1,0,0,0,0,0,12
30/05/2021,"REPAIR CAFE / DONNERIE PEPINSTER",,0,2,0,0,0,0,0,15
29/05/2021,"Ca l'Isidret",,0,1,0,0,0,0,0,12
25/05/2021,"Téléréparation Lille",,0,1,0,0,0,0,0,12
25/05/2021,"Téléréparation Lille",,0,1,0,0,0,0,0,12
22/05/2021,"Restart Party: Restarters West London and Hackney Fixers",,0,3,0,0,0,0,0,18
22/05/2021,"Restart Party: Hackney Fixers and Restarters West London",,13,10,0,0,0,0,0,39
22/05/2021,"Repair Café Namur Confluence",,0,1,0,0,0,0,0,12
22/05/2021,"market harborough fixers @ Ecovillage",,6,4,0,0,0,0,0,21
16/05/2021,"Repair Café Rhode-Saint-Genèse",,0,1,0,0,0,0,0,12
15/05/2021,"Repair Café Frameries",,0,1,0,0,0,0,0,12
15/05/2021,"Chesterfield Repair Cafe",,0,1,0,0,0,0,0,12
14/05/2021,"Repaircafé Chastre Mai 2021",,0,1,0,0,0,0,0,12
09/05/2021,"Repair Café Tournai - ANNULE",,0,1,0,0,0,0,0,12
08/05/2021,"Fabra i Coats",,7,7,0,0,0,0,0,30
08/05/2021,"Repair Café Wavre",,22,12,0,0,0,0,0,45
06/05/2021,"Vaux-sur-Sûre - Repair café - atelier ""Do It Yourself""",,0,1,0,0,0,0,0,12
01/05/2021,"Marlow Repair Café",,11,4,0,0,0,0,0,21
01/05/2021,"Repair vélo  de mai - Re-Cycle Jodoigne",,0,1,0,0,0,0,0,12
30/04/2021,"Repair Café Barcelona",,0,1,0,0,0,0,0,12
24/04/2021,"Repair Café de Grez-Doiceau",,0,1,0,0,0,0,0,12
24/04/2021,"Repair Café Frameries",,0,1,0,0,0,0,0,12
24/04/2021,"Ca l'Isidret",,10,8,0,0,0,0,0,33
24/04/2021,"Repair Café de la Roseraie Uccle",,0,1,0,0,0,0,0,12
24/04/2021,"Récupération vélo recyparc jodoigne",,0,1,0,0,0,0,0,12
21/04/2021,"Repair Café Centre A.R.A.",,0,1,0,0,0,0,0,12
17/04/2021,"April Repair cafe",,0,1,0,0,0,0,0,12
17/04/2021,"Chesterfield Repair Cafe",,15,4,0,0,0,0,0,21
11/04/2021,"Repair Café Tournai - Annulé",,0,1,0,0,0,0,0,12
03/04/2021,"ANNULÉ - Repair Café de Malonne",,0,1,0,0,0,0,0,12
03/04/2021,"Repair vélo sur rendez-vous uniquement",,0,1,0,0,0,0,0,12
01/04/2021,"Vaux-sur-Sûre - Repair café - atelier ""Do It Yourself""",,0,1,0,0,0,0,0,12
27/03/2021,"Repair Café de Grez-Doiceau",,0,1,0,0,0,0,0,12
